sender,receiver,capacity
0,1,1765.497543096549
0,3,11142.964482009093
0,2,217.127602120237
0,7,1857.7108483898664
0,17,1794.6149020366486
0,8,230.65641825101045
0,10,5545.770538011669
0,20,21412.541968033456
0,27,2523.316804241224
0,32,4173.031211554132
0,34,21135.234497472105
0,41,4992.812663387992
1,2,2561.9244968721896
1,4,3618.258803044009
1,7,3025.2398066653245
1,0,598.4851755921925
1,29,4583.008178200579
1,11,581.440507806502
1,8,960.36130507518
1,15,2127.6406989563925
1,21,1679.3901998856747
1,12,5799.158345654262
1,13,6229.529273005657
1,14,1300.3727418686835
1,16,7073.932692959351
1,20,2802.8915751316435
1,25,4359.148890841392
1,26,4370.712118109084
1,28,10777.143910861769
1,35,10846.900883210963
1,36,350.8650572385916
1,38,2084.558415000359
1,43,8880.147254500036
2,0,5916.106145284313
2,4,793.113601999819
2,1,232.40980680555782
2,14,1930.6151509290216
2,18,4294.316605490969
2,31,2967.6864932999806
2,32,926.3351531804168
2,34,614.4730885794258
2,39,4098.335382601832
2,40,8798.210516566749
2,42,1830.2574010548265
2,45,365.3905375178272
3,0,246.63580095650292
3,6,2831.4763374562203
3,8,1878.9518246969878
3,30,919.119336082586
4,1,618.0799852364606
4,11,1805.0781938317575
4,2,3791.227536913812
4,5,4005.204823104222
4,17,7522.589323149841
4,8,5443.984187753253
4,10,16249.168737580601
4,13,9269.55813175211
5,4,937.5463756745494
6,3,1471.587538692718
7,0,225.58259783187597
7,17,1227.3784635931834
7,1,1.6301134282411673
8,0,390.0831153427838
8,9,777.8610344098231
8,3,3412.1901412117277
8,15,1202.0777735111533
8,1,174.86915989807508
8,21,760.6935070783653
8,4,4351.451901735732
9,8,1595.6655143491382
10,0,327.4963973319261
10,4,789.4228376596812
10,23,1004.509720321324
11,1,94.81828709253239
11,4,24.94728238457276
11,46,1077.4933680579072
12,1,276.78527609382365
13,4,133.6285716654534
13,1,15.476925974533648
13,33,1427.923721040334
13,47,432.78972986083954
14,2,1124.0327358149939
14,1,716.26354003348
14,29,7035.839338400337
14,15,44.27264910889038
14,23,1066.9176154114596
14,19,2071.896742360627
15,14,10.980408607219331
15,1,582.1972526116008
15,8,282.40621135619807
16,1,545.4876515384143
17,4,1204.590314090299
17,0,1174.54860923921
17,7,285.89238319798994
17,24,2756.691954076072
18,2,314.11382377503116
19,14,783.261416396441
20,1,433.54502579787714
20,0,350.75950013240583
21,1,5093.373903997805
21,8,70.29961542444867
21,22,2090.3652407683276
21,44,46.23405076673929
21,48,1621.3818517652196
22,21,187.78909256352765
22,23,444.79033056060035
23,14,454.9806884862648
23,10,2897.986585364297
23,22,2179.389227999884
23,31,1459.9731195207214
24,17,155.73102280924246
25,1,191.6827757303921
26,1,10.170262877154334
26,49,67.0904881638598
27,0,331.8688502666388
28,1,1127.2969290821115
29,1,61.440727241669954
29,14,23.599157142636045
30,3,193.2063492611034
31,23,1035.379833210634
31,2,1183.8408142070223
32,0,158.6968480706358
32,2,65.14628221685848
33,13,1335.5301587257827
33,37,30.307667298307102
34,0,1037.5960681351114
34,2,410.32071184617325
35,1,271.4849791912955
36,1,338.98389188983333
37,33,216.20016133210382
38,1,146.65585021988522
39,2,436.09017243167614
40,2,1022.2573984700323
41,0,1012.992591401554
42,2,206.8745690337679
43,1,1485.7079545384638
44,21,280.52856821448233
45,2,28.964346872012943
46,11,173.41738426893
47,13,484.57055534687817
48,21,1728.7461768230803
49,26,763.8159487815102
