time,sender,destination,amount
0.00,9,0,19.74
0.34,32,7,19.43
0.84,16,3,16.22
1.07,25,32,7.37
1.11,15,0,7.51
2.02,10,0,4.38
2.68,11,24,5.21
3.66,2,26,41.06
4.03,16,3,16.80
4.56,10,31,11.33
5.05,10,29,17.87
5.61,17,3,19.43
6.39,26,0,3.44
7.17,11,3,15.95
7.61,34,32,17.59
8.49,33,0,15.86
9.42,25,0,19.71
10.13,1,3,7.90
11.07,3,8,72.09
11.12,27,1,6.18
11.23,0,3,8.50
12.21,0,22,15.78
12.74,17,0,1.71
13.30,30,20,16.19
14.18,11,3,2.73
14.78,23,3,5.66
15.14,21,31,18.72
15.32,18,31,11.86
16.00,14,3,18.77
16.66,2,0,44.12
17.50,5,3,4.41
18.23,25,0,16.43
18.43,3,10,2.54
18.64,1,10,45.18
18.72,8,23,7.09
18.82,2,0,73.00
19.60,28,3,17.73
19.96,13,14,8.82
20.75,28,0,10.60
21.25,12,3,15.89
21.89,12,32,8.28
22.28,1,29,8.70
23.19,18,5,5.78
24.08,9,22,4.45
25.04,33,2,15.56
25.14,29,1,6.75
25.55,5,29,10.23
25.61,26,22,10.03
25.71,28,1,13.17
25.74,7,0,18.95
26.49,2,0,33.25
27.00,4,24,11.04
27.69,31,20,17.67
28.35,27,22,11.78
29.26,23,14,10.86
29.64,16,0,18.11
29.97,8,3,18.75
30.21,15,0,14.88
30.33,26,0,13.54
30.43,19,0,9.75
30.53,27,30,2.38
31.03,0,16,18.12
31.46,0,30,18.76
31.89,6,0,3.79
32.26,0,1,53.36
32.86,22,0,5.08
32.94,20,29,2.39
33.37,1,32,14.09
33.37,0,22,13.87
34.03,8,1,16.22
34.13,17,3,17.29
34.15,6,38,19.61
34.54,1,3,49.91
35.45,6,25,17.06
36.31,29,10,13.57
37.16,1,17,27.91
37.54,1,2,53.74
37.92,2,0,69.29
38.74,2,22,8.14
39.51,2,0,1.76
39.77,11,31,11.95
40.53,18,3,12.11
41.09,20,35,3.01
42.08,26,3,17.26
42.70,16,0,3.37
43.50,0,17,66.88
44.39,29,13,10.54
45.20,5,29,2.53
45.22,6,3,6.60
45.55,16,0,17.66
46.23,26,3,19.54
46.96,32,0,7.47
46.99,32,0,5.64
47.11,0,3,44.66
47.51,9,3,14.78
48.14,28,14,8.16
49.00,10,38,9.38
49.51,10,3,19.23
50.31,1,16,36.56
51.12,6,0,11.38
51.77,5,32,9.68
51.84,29,7,11.48
52.50,8,29,3.56
52.76,2,4,62.02
53.00,2,1,20.43
53.27,14,3,3.17
53.71,0,30,15.50
54.23,24,16,3.36
54.95,18,8,1.23
55.52,22,29,18.23
55.58,4,0,10.89
55.87,9,3,2.86
56.25,34,3,16.31
57.17,32,2,9.04
57.50,25,3,17.64
57.50,0,3,25.08
58.05,13,3,9.99
58.48,18,26,4.71
58.74,15,3,12.85
59.34,26,3,1.08
59.60,26,13,19.21
59.82,12,3,19.88
60.06,34,13,6.47
60.08,2,9,12.15
60.11,5,14,18.71
60.32,0,3,69.63
60.37,25,0,8.18
61.12,14,6,6.13
61.75,30,0,15.98
62.57,17,0,15.55
62.90,6,8,17.52
63.12,29,7,15.46
64.10,30,3,3.29
65.06,21,3,12.93
65.62,21,13,18.24
66.35,6,0,9.38
66.84,28,2,10.46
67.74,3,0,15.70
68.05,21,0,14.71
68.79,3,24,24.94
68.94,2,0,13.90
69.24,10,16,9.98
69.35,3,0,77.85
69.37,0,4,17.31
69.60,10,0,1.63
69.62,20,3,13.15
69.97,20,14,6.02
70.46,30,0,1.43
70.71,27,6,11.15
71.45,10,22,4.50
71.71,10,0,6.57
71.93,31,38,11.21
72.90,2,3,16.22
73.59,1,23,78.97
74.01,8,3,7.10
74.83,32,0,18.34
75.47,8,7,2.70
75.67,33,0,15.76
76.35,20,3,9.07
77.15,22,13,1.15
77.67,9,3,7.03
78.55,17,10,18.20
78.89,6,3,13.62
79.50,25,0,5.27
79.79,34,20,5.73
80.43,14,4,9.69
81.22,12,6,19.90
81.66,2,16,12.91
82.12,3,24,73.25
82.41,32,0,10.65
83.09,17,0,13.58
83.88,1,22,16.81
84.87,18,31,14.57
85.40,17,0,5.83
86.10,2,3,72.14
86.93,23,0,16.32
87.11,4,0,15.75
87.35,13,38,4.37
87.90,8,3,19.39
88.71,21,0,12.10
89.66,6,0,14.70
90.08,4,3,1.56
90.93,4,38,3.79
90.98,17,32,14.38
91.82,28,14,4.64
92.18,22,2,6.97
93.18,0,24,2.87
93.22,11,0,2.49
94.12,2,0,20.63
94.74,26,3,11.68
94.83,0,3,75.05
95.12,6,3,4.73
95.98,18,4,10.99
96.75,25,14,12.46
97.61,21,3,18.61
97.67,30,0,7.04
97.94,16,3,14.74
98.03,19,3,19.08
98.18,0,10,12.07
98.23,0,31,32.61
98.94,22,0,5.36
99.04,3,6,13.57
99.24,30,11,11.40
99.59,2,3,39.79
99.78,20,3,17.74
100.51,1,3,18.89
101.19,5,0,14.57
101.41,5,22,5.43
101.50,1,30,39.50
101.87,29,0,18.62
102.69,5,2,19.73
103.45,1,0,12.56
104.32,2,0,50.56
104.91,22,0,11.24
105.28,21,26,18.39
105.74,27,0,6.41
106.61,26,0,19.56
106.72,31,7,6.10
107.31,25,4,9.85
107.81,2,3,22.76
108.28,25,3,18.94
108.75,0,2,70.10
108.94,22,3,5.60
109.23,2,35,13.76
109.72,24,0,19.00
109.91,28,0,5.32
110.60,33,7,1.82
111.55,2,31,29.13
111.94,19,29,6.91
112.39,1,11,14.57
113.15,22,0,16.20
114.07,27,0,16.08
114.35,11,0,16.90
114.57,0,3,14.92
114.92,13,29,12.18
115.36,3,10,42.45
116.01,2,17,13.47
116.81,19,4,15.37
117.76,27,29,14.67
117.79,25,0,1.13
118.37,0,3,15.08
119.09,15,3,13.19
119.38,26,38,6.62
119.83,26,3,11.82
120.36,3,0,49.87
120.64,14,0,13.42
121.31,5,1,3.80
121.74,22,3,1.15
122.14,0,3,4.70
122.82,23,0,19.58
123.53,22,20,15.57
123.55,2,3,14.33
124.04,21,3,7.54
124.53,28,3,13.95
125.02,20,0,4.47
125.59,1,23,71.04
126.02,13,3,6.02
126.79,4,10,1.27
127.57,12,0,17.99
127.76,15,0,4.34
128.00,7,9,19.68
128.27,18,17,9.90
128.93,11,3,16.58
129.83,31,6,11.88
129.85,19,0,16.35
129.86,1,3,70.48
130.81,28,25,12.81
131.44,9,3,14.24
131.92,10,3,5.03
132.77,2,32,10.43
133.72,21,9,17.45
134.72,31,11,10.38
134.88,22,1,6.01
134.91,30,3,13.39
134.93,10,4,4.71
135.93,15,22,6.74
136.14,1,0,70.46
136.95,30,0,14.43
137.27,23,0,17.44
137.83,1,23,71.04
138.78,0,23,7.73
139.73,11,1,1.12
140.49,12,3,4.97
140.78,10,3,10.21
141.06,9,3,7.42
141.57,2,4,36.94
142.38,23,0,8.47
142.80,2,23,41.47
143.24,4,23,8.81
143.45,9,3,7.16
144.21,34,0,6.70
144.26,19,13,10.27
144.61,3,0,6.29
145.46,17,3,12.22
145.60,23,38,2.17
146.51,27,31,18.87
147.30,15,3,3.11
148.09,6,3,14.53
148.16,0,2,150.98
148.49,33,6,17.23
148.84,7,0,1.68
149.04,13,31,19.00
150.01,7,3,2.88
150.42,27,0,9.95
150.67,25,0,19.39
151.42,15,11,17.86
152.04,19,9,7.13
152.77,28,35,5.70
153.39,9,26,2.17
153.96,14,3,15.35
154.33,33,7,1.20
155.09,10,3,18.75
155.11,22,0,6.12
155.89,22,3,5.96
156.08,1,5,50.28
157.05,7,3,2.94
157.35,14,31,2.37
157.97,15,3,7.81
158.06,17,26,3.36
158.53,16,0,19.86
158.78,26,5,19.30
159.54,13,32,13.59
159.78,17,11,7.30
160.62,4,0,19.34
160.77,20,11,6.35
160.78,30,3,17.76
161.41,8,4,8.72
162.13,31,0,15.78
162.45,15,3,13.54
162.93,12,6,10.37
163.42,27,5,17.60
164.06,26,3,2.29
165.03,1,3,17.86
165.12,22,4,12.26
165.20,16,0,16.41
165.30,3,17,64.39
166.07,33,13,2.76
166.41,25,10,8.15
166.84,7,31,11.51
167.18,13,0,15.64
167.63,28,4,8.78
167.64,32,0,12.86
168.06,0,9,10.93
168.91,0,16,27.17
169.26,2,4,10.24
170.02,24,3,2.78
170.28,17,13,19.24
171.20,21,22,6.03
172.10,16,3,3.81
172.38,2,10,2.86
172.77,21,3,4.56
173.47,7,32,8.19
174.41,2,0,73.56
174.84,5,0,12.65
175.60,2,35,13.61
176.42,21,22,1.65
177.41,19,7,10.91
177.62,8,5,16.31
178.57,19,3,16.78
179.43,16,3,2.67
179.63,18,3,18.00
180.41,2,9,1.34
180.54,0,3,58.00
181.01,9,35,16.18
181.92,5,8,7.35
181.95,27,0,1.01
181.99,11,3,18.46
182.28,0,30,16.08
183.18,2,23,11.73
183.46,20,3,11.40
184.23,26,0,11.88
185.14,1,30,21.88
185.59,9,0,1.15
185.69,33,30,1.58
185.76,25,0,18.47
186.46,0,20,64.78
186.91,3,26,75.77
187.42,19,38,4.35
187.49,13,3,15.14
188.29,2,0,70.95
189.00,18,1,9.33
189.77,2,0,14.80
190.41,10,24,16.48
190.64,33,3,17.48
191.27,25,3,2.92
192.22,11,0,4.97
192.22,1,0,19.90
192.26,6,22,4.15
193.06,2,0,53.03
193.79,32,25,1.73
193.87,33,24,11.58
194.51,1,0,19.42
194.55,11,16,12.21
194.83,0,31,16.44
195.72,15,30,19.47
196.51,5,0,10.17
197.35,27,0,4.58
197.69,10,20,17.09
198.37,6,3,9.92
198.48,2,0,3.33
198.70,0,32,35.34
198.79,16,3,18.74
198.85,6,0,15.15
198.96,21,3,15.26
199.46,1,31,33.57
199.97,0,7,56.41
200.85,10,14,18.00
201.48,15,3,17.21
202.40,5,0,7.33
203.11,21,16,8.02
203.70,26,0,18.43
203.92,28,0,11.76
203.98,15,0,1.58
204.09,14,2,4.38
205.06,28,3,12.84
205.52,19,25,5.44
206.48,29,10,15.54
207.02,0,3,42.94
207.47,14,0,8.77
207.74,14,8,14.80
207.86,29,0,17.39
207.89,1,24,31.74
207.96,24,25,4.18
208.33,0,17,3.22
208.91,8,3,10.05
209.22,1,26,45.45
210.00,2,3,60.28
210.13,10,29,11.00
210.42,12,26,9.78
210.52,2,24,79.39
211.10,10,13,8.82
212.09,32,3,2.73
212.98,17,3,13.38
213.32,9,6,9.14
213.94,6,0,7.94
214.36,2,5,19.72
214.76,2,0,32.99
215.21,7,22,2.97
215.65,15,0,7.61
215.76,1,2,61.42
216.38,9,23,16.86
217.15,23,13,16.92
218.09,0,5,31.54
218.84,3,13,14.30
219.23,31,0,10.02
219.50,32,0,5.04
220.34,12,0,7.04
220.96,7,3,4.83
221.38,12,1,18.66
221.72,9,3,7.56
222.19,31,0,1.15
222.31,8,3,8.69
222.75,26,3,15.23
223.00,9,3,5.71
223.05,26,10,19.74
223.28,13,14,5.17
223.54,17,22,16.63
224.22,3,5,12.76
224.32,1,3,45.37
224.44,15,3,2.62
225.28,4,30,16.82
225.90,23,0,2.58
226.19,30,26,13.03
226.33,24,13,12.32
227.15,26,20,18.74
228.10,6,23,10.40
228.54,17,2,13.72
228.57,17,5,15.00
228.95,33,26,5.16
229.23,11,3,6.75
230.06,30,0,18.99
230.26,9,0,16.63
230.99,6,0,17.39
231.01,14,0,17.16
231.53,7,23,5.20
231.79,2,16,25.20
232.22,20,3,7.35
232.67,3,10,24.08
232.92,8,24,3.14
233.42,25,13,14.52
234.39,33,3,9.56
234.71,0,38,10.38
235.41,15,29,15.65
236.40,14,32,17.12
236.56,0,10,99.35
237.01,17,26,12.13
237.52,10,0,3.57
237.59,14,11,2.95
237.60,22,0,18.15
238.18,16,10,19.59
238.70,3,38,1.80
238.89,24,0,15.50
239.31,5,3,10.70
239.98,4,0,6.75
240.80,13,38,19.56
241.47,1,38,61.09
242.44,0,17,19.97
243.03,14,0,6.38
243.47,18,31,15.42
243.85,26,3,18.66
244.81,1,23,59.59
245.39,30,3,17.55
245.82,12,3,12.92
246.58,0,3,19.34
247.22,5,30,13.66
247.26,27,8,12.71
247.32,10,3,14.88
247.62,28,26,17.25
248.40,1,29,58.75
249.13,1,4,25.76
249.85,29,3,10.95
249.94,26,3,17.51
249.98,4,10,17.92
250.02,3,0,74.16
250.57,16,7,4.90
